name,id,Cmp,Att,Yds,TD,Int,Sk,Fmb,team_win,start_win,Cmp.,Y.A,TD_pct,Int_pct,win_count
Doug Pederson,PedeDo00,12.5,24.25,123.375,0.875,0.875,2.0,0.0,0.25,0.25,0.5154639175257731,5.087628865979381,0.03608247422680412,0.03608247422680412,4
Drew Bledsoe,BledDr00,16.25,32.25,176.25,0.75,1.0,1.875,0.0,0.125,0.125,0.5038759689922481,5.465116279069767,0.023255813953488372,0.031007751937984496,102
Drew Stanton,StanDr00,13.5,24.625,149.375,0.5,1.125,1.875,0.5,0.375,0.375,0.5482233502538071,6.065989847715736,0.02030456852791878,0.04568527918781726,11
EJ Manuel,ManuEJ00,18.125,31.125,199.375,1.125,0.5,2.125,0.5,0.375,0.375,0.5823293172690763,6.405622489959839,0.03614457831325301,0.01606425702811245,6
Earl Morrall,MorrEa00,11.25,21.625,175.5,0.875,1.25,0.0,0.0,0.375,0.375,0.5202312138728323,8.115606936416185,0.04046242774566474,0.057803468208092484,66
Eddie LeBaron,LeBaEd00,10.25,19.125,152.125,1.375,1.25,0.0,0.0,0.125,0.125,0.5359477124183006,7.954248366013072,0.0718954248366013,0.06535947712418301,22
Elvis Grbac,GrbaEl00,20.375,29.375,233.5,1.25,0.625,0.75,0.0,0.625,0.5,0.6936170212765957,7.948936170212766,0.0425531914893617,0.02127659574468085,43
Eric Hipple,HippEr00,11.5,24.625,215.625,1.375,1.25,2.375,0.0,0.625,0.625,0.467005076142132,8.756345177664974,0.05583756345177665,0.050761421319796954,27
Erik Kramer,KramEr00,15.125,28.625,180.25,1.25,1.125,2.375,0.0,0.5,0.375,0.5283842794759825,6.296943231441048,0.043668122270742356,0.039301310043668124,34
Fran Tarkenton+,TarkFr00,11.5,20.5,143.375,0.875,1.375,0.0,0.0,0.25,0.125,0.5609756097560976,6.9939024390243905,0.042682926829268296,0.06707317073170732,131
Frank Reich,ReicFr00,11.875,20.375,144.375,1.25,0.375,1.5,0.0,0.5,0.375,0.5828220858895705,7.085889570552148,0.06134969325153374,0.018404907975460124,8
Frank Ryan,RyanFr00,7.625,16.875,124.625,0.875,0.75,0.0,0.0,0.125,0.125,0.45185185185185184,7.385185185185185,0.05185185185185185,0.044444444444444446,56
